Time,X,Y,Z,Mag
0.153,-6.15061,1.44984,3.28552,7.122266568
0.1531,-6.30832,1.52821,3.36766,7.312418266
0.1532,-6.22947,1.25392,3.28552,7.153548317
0.1533,-6.22947,1.37147,3.28552,7.175086628
0.1534,-6.07176,1.2931,3.28552,7.023746776
0.1535,-6.15061,1.37147,3.40873,7.164521864
0.1536,-6.11118,1.41066,3.4498,7.158044612
0.1537,-5.9929,1.25392,3.4498,7.027679974
0.1538,-6.07176,1.33229,3.24445,7.011969905
0.1539,-6.07176,1.33229,3.32659,7.050352273
0.154,-5.79577,1.2931,3.40873,6.847079503
0.1541,-5.95348,1.33229,3.49087,7.028875736
0.1542,-5.8352,1.41066,3.65514,7.028482702
0.1543,-5.8352,1.25392,3.81942,7.085890455
0.1544,-5.67749,1.2931,3.73728,6.919050665
0.1545,-5.8352,1.44984,3.73728,7.079467273
0.1546,-5.55921,1.41066,3.86049,6.913621374
0.1547,-5.75634,1.41066,3.61407,6.941679465
0.1548,-5.55921,1.48903,3.573,6.774094417
0.1549,-5.59863,1.5674,3.77835,6.93378175
0.155,-5.4015,1.44984,3.77835,6.749382712
0.1551,-5.4015,1.44984,3.77835,6.749382712
0.1552,-5.4015,1.25392,3.90156,6.780168733
0.1553,-5.36207,1.44984,3.77835,6.717868667
0.1554,-5.28322,1.41066,3.69621,6.60032905
0.1555,-5.16494,1.41066,3.90156,6.624857528
0.1556,-5.28322,1.25392,3.94262,6.710363731
0.1557,-5.36207,1.5674,4.1069,6.933625679
0.1558,-5.24379,1.48903,4.18904,6.874779998
0.1559,-5.28322,1.37147,4.23011,6.905590065
0.156,-5.16494,1.52821,3.98369,6.699389302
0.1561,-4.92837,1.60658,4.1069,6.613362062
0.1562,-4.88895,1.48903,3.94262,6.454711063
0.1563,-5.04666,1.5674,3.94262,6.593161031
0.1564,-5.24379,1.60658,3.90156,6.730572286
0.1565,-4.9678,1.5674,3.94262,6.532995642
0.1566,-5.04666,1.60658,3.94262,6.602585018
0.1567,-4.92837,1.2931,4.23011,6.62229334
0.1568,-5.04666,1.48903,4.23011,6.751282701
0.1569,-5.08608,1.37147,4.23011,6.755958136
0.157,-4.9678,1.41066,4.06583,6.572668565
0.1571,-4.84952,1.41066,4.1069,6.509564769
0.1572,-4.84952,1.44984,4.23011,6.596492315
0.1573,-5.08608,1.48903,4.1069,6.704628828
0.1574,-4.84952,1.33229,4.31224,6.624821106
0.1575,-4.84952,1.33229,4.39438,6.678578925
0.1576,-4.92837,1.2931,4.18904,6.596134822
0.1577,-5.04666,1.33229,4.27118,6.744386732
0.1578,-4.92837,1.21473,4.43545,6.740743025
0.1579,-4.84952,1.13636,4.47652,6.696894026
0.158,-4.92837,1.37147,4.43545,6.770744237
0.1581,-4.69181,1.41066,4.39438,6.581308251
0.1582,-4.69181,1.41066,4.31224,6.526749308
0.1583,-4.65239,1.21473,4.39438,6.513898776
0.1584,-4.45525,1.5674,4.35331,6.423184824
0.1585,-4.57353,1.44984,4.27118,6.423565309
0.1586,-4.57353,1.48903,4.51759,6.598712481
0.1587,-4.73124,1.2931,4.72294,6.8090309
0.1588,-4.45525,1.37147,4.68187,6.606821416
0.1589,-4.29754,1.2931,4.6408,6.455848689
0.159,-4.41582,1.41066,4.72294,6.617823672
0.1591,-4.29754,1.44984,4.55866,6.430572842
0.1592,-4.29754,1.48903,4.59973,6.468661103
0.1593,-4.21869,1.48903,4.59973,6.416546714
0.1594,-4.21869,1.37147,4.68187,6.449665261
0.1595,-4.17926,1.44984,4.6408,6.411339549
0.1596,-4.17926,1.60658,4.72294,6.507954801
0.1597,-4.06098,1.64577,4.55866,6.323092475
0.1598,-3.90327,1.52821,4.6408,6.253636313
0.1599,-3.9427,1.52821,4.6408,6.278322525
0.16,-3.98213,1.5674,4.6408,6.312774884
0.1601,-3.98213,1.52821,4.88721,6.486725424
0.1602,-4.02155,1.41066,4.88721,6.48441575
0.1603,-4.21869,1.2931,4.92828,6.614937391
0.1604,-4.10041,1.48903,5.05149,6.674438083
0.1605,-3.9427,1.25392,5.05149,6.52952907
0.1606,-3.90327,1.41066,5.21576,6.665555544
0.1607,-3.9427,1.2931,5.25683,6.697107775
0.1608,-4.06098,1.37147,5.13363,6.687798255
0.1609,-3.86385,1.52821,5.09256,6.57258929
0.161,-3.74556,1.48903,5.09256,6.494659145
0.1611,-3.86385,1.44984,5.38004,6.780575436
0.1612,-3.98213,1.2931,5.58538,6.9803966
0.1613,-3.98213,1.33229,5.25683,6.728047089
0.1614,-3.70614,1.21473,5.46218,6.711665443
0.1615,-3.82442,1.44984,5.46218,6.823755177
0.1616,-3.58786,1.21473,5.38004,6.57975218
0.1617,-3.31187,1.25392,5.33897,6.406668317
0.1618,-3.66671,1.52821,5.46218,6.753932068
0.1619,-3.54843,1.37147,5.42111,6.622742563
0.162,-3.58786,1.44984,5.2979,6.560679829
0.1621,-3.35129,1.52821,5.2979,6.452465798
0.1622,-3.31187,1.5674,5.42111,6.543214752
0.1623,-3.39072,1.2931,5.70859,6.764398681
0.1624,-3.43015,1.37147,5.70859,6.799621958
0.1625,-3.54843,1.33229,5.79073,6.920903557
0.1626,-3.43015,1.41066,5.79073,6.876659406
0.1627,-3.62728,1.21473,5.87287,7.008803836
0.1628,-3.66671,1.09718,5.91394,7.044377368
0.1629,-3.82442,0.979625,5.955,7.144779806
0.163,-3.78499,1.01881,5.99607,7.16358699
0.1631,-3.46958,0.979625,6.20142,7.173232224
0.1632,-3.58786,0.901255,5.74966,6.836928409
0.1633,-3.31187,1.13636,5.46218,6.488081943
0.1634,-3.27244,1.25392,5.66752,6.663479712
0.1635,-3.15416,1.2931,6.03714,6.933101203
0.1636,-3.23301,1.25392,5.99607,6.926581009
0.1637,-3.11473,1.33229,5.79073,6.708881691
0.1638,-3.31187,1.25392,6.07821,7.034588479
0.1639,-3.19359,1.058,6.20142,7.05521021
0.164,-3.31187,1.25392,6.16035,7.105681557
0.1641,-3.15416,1.13636,6.11928,6.977508658
0.1642,-3.43015,1.17555,6.32463,7.290321767
0.1643,-3.509,1.13636,6.40676,7.392629353
0.1644,-3.46958,1.01881,6.16035,7.143239553
0.1645,-3.54843,0.7837,6.32463,7.294277606
0.1646,-3.58786,0.822885,6.44783,7.424580177
0.1647,-3.27244,0.979625,6.4889,7.333099747
0.1648,-3.23301,1.058,6.44783,7.290146046
0.1649,-3.23301,1.058,6.4889,7.326495811
0.165,-3.35129,1.058,6.52997,7.41559282
0.1651,-3.27244,0.979625,6.4889,7.333099747
0.1652,-3.03588,0.979625,6.61211,7.341405258
0.1653,-3.03588,1.13636,6.3657,7.143529794
0.1654,-3.11473,1.058,6.32463,7.128944635
0.1655,-3.23301,1.01881,6.52997,7.357366083
0.1656,-3.35129,0.7837,6.52997,7.381452334
0.1657,-2.9176,0.94044,6.52997,7.213690134
0.1658,-2.83874,0.901255,6.61211,7.251944844
0.1659,-2.79932,1.17555,6.57104,7.238554894
0.166,-2.79932,1.058,6.57104,7.220396329
0.1661,-2.79932,1.058,6.57104,7.220396329
0.1662,-2.83874,0.94044,6.73532,7.369355988
0.1663,-2.83874,0.822885,6.81745,7.430559132
0.1664,-2.95702,0.7837,6.85852,7.509823537
0.1665,-2.87817,1.058,6.85852,7.512823912
0.1666,-2.79932,1.17555,6.81745,7.462957508
0.1667,-2.83874,1.17555,6.57104,7.25389063
0.1668,-2.83874,0.94044,6.85852,7.48212328
